codeid;signatures;contract_type;permit_check
326791569;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '42966c68', '70a08231', '79cc6790', '95d89b41', 'a9059cbb', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
287946820;['3974874b', '8da5cb5b', '9d76ea58', 'f2fde38b', 'fc0c546a'];Unknown;permit function missing
128595959;['0ec1b057', '13af4035', '27dc297e', '49bedf42', '7f187d2d', '8934d115', 'd7c26adb'];Unknown;permit function missing
807528549;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '3eaaf86b', '70a08231', '79ba5097', '8da5cb5b', '95d89b41', 'a293d1e8', 'a9059cbb', 'b5931f7c', 'cae9ca51', 'd05c78da', 'd4ee1d90', 'dc39d06d', 'dd62ed3e', 'e6cb9013', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
538977951;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '42966c68', '70a08231', '79cc6790', '95d89b41', 'a9059cbb', 'cae9ca51', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1081726549;['06fdde03', '095ea7b3', '18160ddd', '20606b70', '23b872dd', '313ce567', '39509351', '40c10f19', '587cde1e', '5c19a95c', '6fcfff45', '70a08231', '715018a6', '782d6fe1', '7ecebe00', '8da5cb5b', '95d89b41', 'a457c2d7', 'a9059cbb', 'b4b5ea57', 'c3cda520', 'dd62ed3e', 'e7a324dc', 'f1127ed8', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
244424333;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '54fd4d50', '70a08231', '8da5cb5b', '95d89b41', 'a9059cbb', 'cae9ca51', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1402778968;['290f8f56', '332d6626', '6150864c', '81ae1f5b', 'b3eeb5e2'];Unknown;permit function missing
325438435;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '39509351', '40c10f19', '70a08231', '95d89b41', '983b2d56', '98650275', 'a457c2d7', 'a9059cbb', 'aa271e1a', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1275923308;['011cee36', '0aa43533', '2c691b36', '31d7a262', '33b7d3ea', '372500ab', '47734892', '48dec2a7', '49df8d33', '66666aa9', '817b1cd2', '8da5cb5b', 'a9f8d181', 'c819d388', 'c964ad45', 'db2e21bc', 'e3161ddd', 'e5da2cb2', 'f2fde38b', 'f7929e44'];Unknown;permit function missing
209866915;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '33a581d2', '4d78fdc6', '70a08231', '7c0a893d', '95d89b41', 'a9059cbb', 'be45fd62', 'c90755e2', 'ca88bd5b', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
799963461;[];Unknown;permit function missing
285609989;['2f265cf7', '518ab2a8', '5938750d', '66adeb8c', '6b2dc6b5', '7021939f', '7e1c0c09', '7ff9b596', '81c40715', '8da5cb5b', 'a6f2ae3a', 'b13c744b', 'cdf58d35', 'e4494a0f', 'ecd098b0'];Unknown;permit function missing
326183304;['a4a626ff'];Unknown;permit function missing
682735810;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '42966c68', '70a08231', '79cc6790', '8863dd1a', '8da5cb5b', '95d89b41', 'a293d1e8', 'a9059cbb', 'b414d4b6', 'b5931f7c', 'cdeda055', 'd05c78da', 'dd62ed3e', 'e6cb9013', 'e724529c'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
307075107;['031c06e4', '07519f62', '0f9a71d7', '3176cad2', '33a29049', '346d73ec', '3cec4827', '49e3a6c7', '519af30e', '8da5cb5b', '9c0fca7d', 'ac34a329', 'b248a4f4', 'b5b3b051', 'b9070921', 'bd4b8a04', 'd6e91be0', 'd829ed97', 'f2fde38b', 'fbd440ed'];Unknown;permit function missing
341083256;['27233980', '384bff39', '3ccfd60b', '3f4ba83a', '5c975abb', '6bdebcc9', '795dcb9b', '8456cb59', '8bb4d698', '8da5cb5b', '93e4f198', 'a65630b5', 'a6f9dae1', 'b690a745', 'bfe07da6', 'c89e4361', 'd4e4f550', 'e38296e4', 'e8f4d590', 'fc936203'];Unknown;permit function missing
261789332;['28da740f', '355fd8db', '52f6ee58', '77d4e5bc', '78abafaf', '9ab361a2', 'a69df4b5', 'b69ef8a8', 'e2c345e2'];Unknown;permit function missing
415344816;['025e7c27', '173825d9', '20ea8d86', '2f54bf6e', '3411c81c', '54741525', '7065cb48', '784547a7', '8b51d13f', '9ace38c2', 'a0e67e2b', 'a8abe69a', 'b5dc40c3', 'b77bf600', 'ba51a6df', 'c01a8c84', 'c6427474', 'd74f8edd', 'dc8452cd', 'e20056e6', 'ee22610b'];Unknown;permit function missing
237268270;['05d2035b', '06fdde03', '095ea7b3', '18160ddd', '23b872dd', '293230b8', '313ce567', '40c10f19', '5b4f472a', '70a08231', '7d64bcb4', '8da5cb5b', '95d89b41', 'a9059cbb', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
817805202;['1e83409a', '24ec7590', '41c0e1b5', '7fd6f15c', '8da5cb5b', 'aee25613', 'e7489d88', 'f4838176'];Unknown;permit function missing
1694242623;[];Unknown;permit function missing
488539896;['05d2035b', '06fdde03', '095ea7b3', '0fdc7956', '18160ddd', '212ebbd6', '23b872dd', '2a7806e4', '313ce567', '40c10f19', '42966c68', '4cd412d5', '66188463', '704b6c02', '70a08231', '74ad74e9', '75d7e8ea', '7d64bcb4', '8da5cb5b', '902d55a5', '95d89b41', 'a5bbd67a', 'a9059cbb', 'd73dd623', 'dd62ed3e', 'ef7ac0e5', 'f2260031', 'f2fde38b', 'f851a440'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
327309225;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '2ff2e9dc', '313ce567', '3f4ba83a', '5c975abb', '66188463', '70a08231', '8456cb59', '8da5cb5b', '95d89b41', 'a9059cbb', 'd73dd623', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
240970999;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '42966c68', '70a08231', '79cc6790', '95d89b41', 'a9059cbb', 'cae9ca51', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1540319142;['06fdde03', '095ea7b3', '13114a9d', '18160ddd', '1bbae6e0', '23b872dd', '2d838119', '313ce567', '39509351', '3bd5d173', '3c9f861d', '4549b039', '5880b873', '70a08231', '715018a6', '8da5cb5b', '95d89b41', 'a457c2d7', 'a69df4b5', 'a9059cbb', 'b6c52324', 'cba0e996', 'dd467064', 'dd62ed3e', 'f2cc0c18', 'f2fde38b', 'f84354f1'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
393759179;['6d4ce63c'];Unknown;permit function missing
910544985;['373e73f8', '6455cc90', '65fae35e', '775c300c', '9c52a7f1', 'b7b34d11', 'bf353dbb', 'edc776ad', 'f905c15a', 'fe0ac3e7', 'fe7a33ad'];Unknown;permit function missing
637415134;['025b22bc', '1e29848b', '342de179', '4555d5c9', '5c60da1b', '661429c8', '715018a6', '8da5cb5b', '8f32d59b', 'd11f045c', 'edeca09b', 'f2fde38b'];Unknown;permit function missing
1205904019;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '70a08231', '95d89b41', 'a9059cbb', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
